Week,Day,Time Slot,Room,Course
Week1,Monday,9:00-12:00,SMAT,SOE510
Week1,Monday,9:00-12:00,IFT 1,SOE212
Week1,Monday,9:00-12:00,IFT 2,SOE306
Week1,Monday,14:00-17:00,SMAT,SOE506
Week1,Monday,14:00-17:00,IFT 1,SOE210
Week1,Monday,14:00-17:00,IFT 2,SOE308
Week1,Tuesday,9:00-12:00,SMAT,SOE508
Week1,Tuesday,9:00-12:00,IFT 1,SOE208
Week1,Tuesday,9:00-12:00,IFT 2,SOE310
Week1,Tuesday,14:00-17:00,SMAT,SOE504
Week1,Wednesday,9:00-12:00,SMAT,SOE512
Week1,Wednesday,14:00-17:00,SMAT,SOE202
Week1,Wednesday,14:00-17:00,IFT 1,SOE514
Week1,Thursday,9:00-12:00,SMAT,SOE206
Week1,Thursday,9:00-12:00,IFT 1,SOE302
Week1,Thursday,14:00-17:00,SMAT,SOE204
Week1,Friday,9:00-12:00,SMAT,SOE304
